Date,MRR,ARR,Customer_Count,Churn_Rate,CAC,LTV,Burn_Rate,Runway_Months,NPS_Score,Revenue_Growth
2024-01-15,145000,1740000,342,2.1,850,12400,185000,18,67,12.3
2024-02-15,158000,1896000,389,1.8,920,13100,192000,17,69,8.9
2024-03-15,174000,2088000,421,2.4,780,12800,198000,16,71,10.1
2024-04-15,189000,2268000,456,1.9,810,13500,205000,15,68,8.6
2024-05-15,203000,2436000,492,2.7,890,12900,215000,14,66,7.4
2024-06-15,221000,2652000,534,2.2,760,14200,220000,14,72,8.8
2024-07-15,238000,2856000,578,3.1,940,13600,228000,13,64,7.7
2024-08-15,256000,3072000,621,1.6,720,14800,235000,13,74,7.6
2024-09-15,278000,3336000,669,2.3,800,14100,242000,12,70,8.6
2024-10-15,301000,3612000,718,1.9,750,15200,248000,12,73,8.3